file_name,caption,duration
1089085.wav,"Possibly a movie soundtrack, this instrumental piece has a dramatic tone, creates a slight suspense and a playful continuing",151.7
1386744.wav,Melodic 90s guitar solo song perfect for a romantic dinner with your date.,280.6
260844.wav,The beat is similar to one played in a circus like that of leaps and runs with acoustic guitar and vocal licks accompanying vocal lines,161.0
6730.wav,The relaxed melody and slow tempo make this song a combination of romantic and peaceful piece,206.6
1266727.wav,The production sounds like it is produced by a beginner.,594.8
271119.wav,Expressive classical piano piece typical of the Romantic period with an intense dramatic feel.,413.5
785423.wav,A twisty nice melody song by a slide electric guitar on top of acoustic chords later accompanied with a ukelele.,246.2
1211603.wav,This audio starts as a somber piano track. A very suave alto woman sings in a bluesy voice. Her register is rich and she sings over the piano as a duet. She sings about a man she loved and how he has her in his grip. The track is very melodic yet simplistic - voice and piano.,170.1
642166.wav,"this indie rock song is happy and energetic, it has distorted and phasy guitars, bright drums and features asian lyrics singed by a male.",314.1
1159244.wav,Instrumental mostly on acoustic guitar and drums that has a lively feel and can be used before the start of a concert or event or in the background of a festival,226.8
1169720.wav,A piece of classical instrumental piano music in the Romanticism style with deep emotion and expressiveness.,177.5
428529.wav,"A jazzy piano is playing in the foreground. A bass is doing chromatic and moving lines behind, underpinning the piano playing. After a while of jazzy playing, the piano switches to what feels like a more bluesy chord progression. The bass then moves up into a higher register - higher on the neck. The track feels lighthearted and mellow.",141.6
402055.wav,Instrumental piece with some baroque-era musical arrangements that could well be used in the opening credits of a period film.,185.9
461017.wav,A harsh instrumental rock song which sounds a bit artificial and dull.,263.0
1061369.wav,"Probably a three piece band with melodic guitar, heavy bass and drums playing an instrumental and energetic piece.",161.5
1282564.wav,"Ethnic ambient electronic song, with a strong ethnic percussion beat and a piano leading melody. The song is pretty flat and fades in and fades out without leaving you any particular impression.",111.2
1036934.wav,Indie alike track to time-travel to mid 2000's.,182.0
3112.wav,"Genre seems like a space music and I feel confused and feels like I'm in the space, somewhere like black-hole",341.0
1388899.wav,This is a shiny lullaby gently performed on a piano.,104.6
1245181.wav,A dreamy and ethereal piece of electronic music with a Spanish guitar.,312.0
922941.wav,"It's very upbeat and bouncy on its own style, sounds like the theme song for a happy protagonist of a 90s show, sounds very jazzy",200.0
145958.wav,"rock song sung by male voice, with electric guitar accompaniment.",199.4
510027.wav,"This song is electronic, with a synth and drum beat and a melodic synth. It starts with instruments then male vocaals are added. It is an electro pop song with an uptempo vibe.",221.6
599221.wav,A harmless and samey pop-rock backing track without vocals,336.1
464504.wav,cliché western movie music with cheap instruments for when the title of movie appear on screen.,103.4
941154.wav,This song features a mysterious and painful sounding male vocals on top of an emotional piano melody and later electronic drums.,297.9
579646.wav,depressive music with only guitar and a sad voice for guys using drugs would be ideal for a rainy day to be even more sad,119.0
33322.wav,An instrumental song that has a bass similar all the song. It's like a loop music.,257.6
986583.wav,A poetic song by a French male singer-songwriter featured an acoustic guitar.,212.2
242384.wav,This is a song played on a guitar as a main instrument and then keys are added later. There is a male voice which sounds relaxing and makes the song emotional,272.2
1269561.wav,The violin feels like its expressing grief about an event but there is also a hopeful element of it from the background bass velocity which subsides at the end,116.4
243172.wav,A song inviting to feel and live the present moment and enjoy.,218.4
686757.wav,Nervous gypsy instrumental song with jazzy acoustic guitars.,159.7
132870.wav,"This chill track reminds me of a hypothetical beachy 80s detective tv show because of the synthesisers, and it would probably be playing under epilogue narration.",168.9
913288.wav,A post-rock song for listening as a teenager.,180.8
592180.wav,"Serene, but slightly tense piano piece played at a moderate tempo",200.3
1169714.wav,A piece of classical piano music of great expressiveness.,334.5
1194316.wav,"A rejected option for the opening music to the TV show, ""Just Shoot Me"", but a successful option for Texas ranch boy meets girl/sheep.",237.8
206578.wav,"This track is of the soft modern rock genre and consists of guitar, bass, drums, keyboards, and male vocals.",236.0
323090.wav,A sweet and fun track featuring slide guitar and a male vocal.,214.4
1341061.wav,Energetic alternate four piece rock song that you can bob your head to,236.8
6722.wav,Classical piano ballad with soft male vocal about love and loss sad and hopeful romantic song,177.2
190869.wav,A rap song with two male voices and sounds in the background that loosely resemble a siren.,227.1
1194314.wav,"Piano ballad that could be used in a ballet, accompanied by percussion and a female vocalist with backing harmonies",233.1
363326.wav,"It's a folk song with country vibe, major chord, and rock drum kit.",323.1
1194315.wav,"Groovy rhythm with the guitar especially when the bass kicks in, un-noticeable absence of loud snare and kick, poppy and catchy",234.5
1051196.wav,This song has acoustic guitar as base and a female vocal in the foreground and is somewhere between christian rock and country.,218.8
547723.wav,A backgrond music bossa nova style. Useful for sunny scenes in movies. Or for a scene of a person just landed in an exotic country.,368.5
599227.wav,"It is a folk song, with violin a drum beat, guitar, and pipes . It is also an instrumental song",229.4
781951.wav,driving and minimalistic techno beat perfect for a big venue,434.7
43986.wav,Indie folk-rock song sung by a young male vocal with things to say.,166.7
103887.wav,"Two electric guitars in conversation with each other, one with a wua-wua effect and the other with a strong delay effect.",258.3
1169731.wav,"Classic instrumental song played on a piano that goes from being mellow, dreamy to uncomfortable feeling at times",191.3
1307838.wav,"Rock song starting with guitar line, with a catchy refrain.",224.1
1242780.wav,"The waves in the background give the track a lofi feeling. the drums are crunchy and not lack some low-end but are quite present. The piano in the background feels almost improvisational. Overall, it feels like a melancholic boom-bap track.",289.1
1169733.wav,The piano sounds like it's going through a rough period in its life.,129.3
1211606.wav,"Modern song with a classical synthesizer, simple harmony and sweet voice. There are no musical dynamics",194.7
818610.wav,"This is an ambient track, an epic score, that can be used as a backgroud music to an epic scene in a movie or video. It has a choir, drums and pads",66.9
35349.wav,Pop rock song with male lead singer containing slight dissonant passages between the lead guitar and the supporting piano chords.,184.3
1151409.wav,"A lullaby turned dark in its melody begins on a plucky kalimba of some kind; after an intro, a flute takes over the melody and a harp and other orchestral instruments back it up.",191.3
1162034.wav,Step onto a cruise and sip your drink in your Hawaiian shirt while listening to this track under the afternoon breeze in St.Tropez.,402.3
1007274.wav,"acoustic guitar solo track with consistent rhythm and repeating progression, suitable for a relaxing afternoon tea",140.2
364087.wav,"Driving, energetic and positive rock song (male voice) perfect for sport or action.",165.6
1176656.wav,Electronic music that builds up mostly using various drum and guitar samples that is relaxing to listen to,184.5
35350.wav,"This is a calm pop song with drums, synth and guitar.",200.1
40639.wav,Finger picking song on acoustic guitar with vocal harmonies using humming that is peaceful and relaxing,127.2
437792.wav,"Heavy metal song with powerful guitar, bass, and drum intro, doubled leading male voice, and backing vocals.",264.9
389520.wav,Instrumental mainly focused on clean electric guitar sound riffs and melody which might be fun to listen to on the background,113.8
14343.wav,excessive cymbal sounds in rock song sung in Spanish with less singing and more instrumentals,263.5
1135707.wav,Energetic pop rock track that will surely keep the dancefloor moving in a live concert.,150.5
305164.wav,"Spanish speaking ethnic folk song, with an interesting prominent percussion section. The male voices move in a constants harmonised chorus with a guitar in the back acting as the funding backbone of the song, that has a rainy day feeling.",102.9
172021.wav,A rap song with arabic rhythm and synth backing track.,230.0
938052.wav,This is an upbeat country style acoustic track featuring dobro guitar and harmonica.,219.1
304775.wav,"Bossa nova or samba duet with jazzy chords on a nylon guitar, and maracas",230.8
14046.wav,"This track feels like OST of a musical movie which is based in London, full of fog and mystery.",263.8
1341055.wav,This funky song features a some spanish rapping and a solid electric guitar solo.,159.0
39105.wav,This is a high bpm heavy metal song sung in french that sounds like System of a Down,152.0
119345.wav,"This instrumental piece has the qualities of Celtic folk songs, starting off with a harp-like instrument playing a repeating melody before drums come in",325.5
212013.wav,Electronic music with a political message in the beginning evoking a confused emotion,210.5
7257.wav,Filmic uplifiting non-vocal orchestral piece which builds into a synth and guitar based track,241.0
135660.wav,Pop upbeat electronic song that one can sing to,208.0
357385.wav,A classically sentimental ranchero track featuring a sad male longing after a love interest.,212.3
285381.wav,"This classical piece has interesting pacing and dynamics- it is not particularly fast and does not feature an extremely wide dynamic range, but it is also far from sleepy. Overall, the tempo is moderate, with a fairly complex interplay between the instruments which keeps things stimulating. The mood is somewhat relaxed, but also thought-provoking.",690.8
457126.wav,"A slow drumbeat is complimented by a slow, moody guitar riff and a female lead that sings about the kind of man she desires",246.5
1116697.wav,"An electronic music track which has a upbeat melody, gets increasingly complex and evokes a sense of positive excitement",256.1
1014963.wav,This song starts with a electric guitar riff and then gets rich with brass instruments and a female vocal singing in English.,244.9
957463.wav,Instrumental on acoustic and electric guitar with a pleasant feel that can be played in a cafe,197.9
1254633.wav,"Typical emotional and nostalgic punk rock song of the 2000s, with male vocals, arpeggiated acoustic guitar and synth strings arrangement.",255.7
786939.wav,"Blue-grass leaning country with banjos, slide guitar, and a gruff male lead singer",170.3
371237.wav,A french song that opens with an answering machine sample and then evolves into a alt rock track with frenetic guitar split by a accordion-like synth track,264.4
304771.wav,"Traditional salsa music starting with Spanish dialogue from an old film and exploding into a colourful burst of horns, guitars, vocals, over a reggaeton beat",212.5
1033253.wav,This indie rock song almost sounds like a children song if it wasn’t for the lyrics.,123.0
26431.wav,"Typical videogame music that would work especially in the initial levels, when the adventure is about to start. Strong percussions with a distant brassy melody and a strong string and pad base, with an hopeful and cheerful atmosphere",108.8
1153922.wav,Joyful Christmas song or children's song featuring a bell melody.,130.2
357273.wav,"This track is hispanic genre, with spanish lyrics, it has a sort of romantic, love theme, with trumpets, guitar and drums.",224.8
5346.wav,Slow stoic pop piano with choir like vocals and string instrumentation later accented by modern feeling drums.,202.4
330655.wav,This type of song fits in Hip hop and ideally suited to place it in vlog kind of content. Instrumentation is more.,210.8
376240.wav,Metal song that could be played in a motorway bar full of rough-looking bikers.,283.7
1267288.wav,"upbeat synthesized guitar pop instrumental track, with consistent tempo and rhythm",262.2
11839.wav,"Starts with a very country vibe, with two guitars. It is an instrumental song with just two guitar playing. It sounds soothing and relaxing",212.2
1156053.wav,"Genre seems to be Texas country music and I feel hopeful and felt like I'm in a farm
with waiting for the sunset with animals walking around",213.4
1294750.wav,Poppy rock track that features an energetic drum and smooth male vocals reminds of 2000's rock anthems.,124.1
1357117.wav,Starts with a electronic guitar sound very likely to a 80s rock style which feels like they performs in a live stage.,216.8
75307.wav,"Melodramatic French soft metal song, with distorted guitar, harmonized vocals and glockenspiel introduction",256.4
700217.wav,"Genre seems like a electric music played with violin and feels like I'm about to do some challenging things, and the mood is pretty dark",277.1
132868.wav,"Starting with an electric piano with tremolo, playing jazzy lines as synthetic string pads and bongos provide backdrop; the complex chords drop out to ease into a boom-bap drum groove. Nice track for relaxing and taking a bath after a long day.",148.4
135658.wav,"very slow upright bass starts solo and a laid-back lofi hiphop beat is added, afterwards some random sprinkles of alberti-ish piano, distorted guitar and harmonized vocals.",282.0
1156054.wav,A gentle folk song with an acoustic guitar and a male voice that conveys a sense of fragility and hope.,145.5
172031.wav,"Hip hop track with a subtle reggaeton feel, with a male rapper and a female soul choir in the background.",237.9
425761.wav,Combination of electronic music and melodic lyrics with a sad futuristic sci fi feel,275.2
457113.wav,"A folksy ditty featuring a warbling woman narrating a story over a variety of jamming, Western-sounding instruments, which evokes a nostalgic sense of older country, bluesy rock.",206.0
1143013.wav,This song starts with a ukulele and builds up with percussion using claps and an acoustic guitar that plays the same rhythm as the ukulele with melody played on a xylophone and has a very upbeat feel to it,97.9
357365.wav,"A Latin American song with accordion and trumpets and a swaying, but heavy feel.",218.8
1163315.wav,"A relaxing jazz song, for focusing, that evokes sentimental feeling.",312.9
357210.wav,"Pop, latin American song with enjoyable and danceful vibe. Male voice. The instruments used in particular are the sand hammer and the accordion.",175.1
457118.wav,Simple 60's style finger picked acoustic guitar with a female singer,271.2
25249.wav,"Synthetic orchestral music with hopeful, yearning harmonies, fast pizzicato motifs and woodwind lead",131.4
1157361.wav,Pop song that is initially sung by a male voice and then a female voice which carries most of the melody that has an upbeat tempo but sad style,218.9
1169706.wav,This song gives a narrative of discovery or working something out I could imagine hearing it at the end of a video game working out my companion was the bad guy or solving a mystery that was not obvious.,273.1
1338443.wav,"It is an Indian/south asian song and it is instrumental. It has keys, tabla, piano and pads. It evokes a relaxing ambient vibe.",299.4
15164.wav,Organs and bells are building up tension progressively as we feel more and more endangered and trapped in a sinister place like a vampire castle.,280.2
1162103.wav,"An emotional cinematic song, starting with staccato strings going into a progressive crescendo with first the vibraphone riff, brass, percussions and epic violin. A song that would make a perfect soundtrack to the heroes looking at the sea after a victorious battle.",131.5
1350951.wav,1950s New York police caper movie. Or music for a commercial about cat food.,124.0
1356871.wav,"Pop, cheerful and happy. listen it when you wake up. male voice, handbells and synth.",212.3
272434.wav,Haunting expansive sound as if you are in space,517.4
1162101.wav,Hopeful soundtrack using big wide sounds to create a feeling that something big is about to happen,223.3
7363.wav,Alternative / experimental rock song with male vocals an a futuristic dreamy vibe.,237.7
7247.wav,"Sounds like a vaporwave song with 80s-style synths, a steady, driving beat with hand percussion and nature sounds in the background.",241.5
14348.wav,Metal with aggressive drums and heavy guitar riffs similar to thrash that leads into a chorus constituting of humming,291.5
667013.wav,"Disco-funky song with a groovy bass line, some great bass arrangements and male falsetto vocals.",221.3
24017.wav,"This is quite a basic trance-pop piece, with a buzzy-sounding synth and low-key, amateurish vocals.",268.4
24837.wav,Mysterious instrumental music with pizzicato violins to the accompaniment of a vibraphone melody.,130.0
76660.wav,Rock folk song with a male French speaking voice and no drums. The guitars are giving strength and rhythm to the song that has a happy and playful feeling,183.0
635967.wav,This smooth jazz track which features a sleepy English vocal is pleasant to listen and perfect for nightdreaming.,284.1
177570.wav,High energy instrumental song with lots of percussion and organ.,276.8
1162697.wav,"A ukulele instrumental track sounding like children's song, with a persistent clap percussion and some different riffs on the same theme played in sequence by a glockenspiel, a synth and a slide guitar.",145.9
1356344.wav,Lush vocals on well-reverbed guitars give a nice sensation at first but then makes the listener ask for more.,188.0
402063.wav,"Grand, ambitious movie music with powerful, march-like drum beats, as well as brass melody.",122.9
1097943.wav,Pop song which could be potentially an ear-worm or a summer hit.,162.7
500969.wav,"A pop-electro song from 00s with a very good use of panning and a very promising melodic line that is accompanied by power-chords. The syncopation between the power-chords and octave double up and the typical, straightforward back-beat is very catchy. Also the piano and electronic keyboard combination seems very natural. I would definetely need to hear the continuation after the build-up to the 2 minutes mark and can imagine myself dancing to this tune in a night back in 2008",185.2
1169701.wav,A pop song with a lazily sang male vocal and catchy guitar strumming,231.1
1107251.wav,RnB but cute sounds like someone who plays volleyball wrote it,228.6
201905.wav,"Instrumental folk rock ballad with acoustic guitars and piano on top of a soft drum beat. An harmonica leads the songs that gives Old Wild West vibes, riding a horse in the sunset.",223.4
46046.wav,Fast tempo electronic music with a melody that repeats consistently,135.3
6719.wav,"A soft ballad with a light piano and soulful male vocals. The melody is syrupy sweet, but emotionally poised. The music picks up with slightly heavier instrumentation. It feels like a stage with gentle spotlights fading in and out, like wispy candlelight. The mood is quite romantic.",190.2
617330.wav,"Cheerful French love song in a reggae style, and with chorus in English.",135.0
181608.wav,A driving french song featuring fast guitars playing.,279.8
1070256.wav,This is a experimental piece or sound effect with quiet noises of running water and someone whispering.,127.6
127609.wav,"String section playing slow harmonies with a galloping low thus keeping time, very moody",176.0
376422.wav,Instrumental with mostly piano that has a melancholic feel which can be heard alone,172.5
94725.wav,energetic rock song about love with guitar and piano,249.8
1115100.wav,"Rap song full of pop elements and sound effects, quite classical and simple dispite off the complex post production",189.9
1119024.wav,"A crunchy rock tune that is up-tempo and features a verbose male vocalist that gets help from big guitars in the chorus, although the verse relies mostly on the drums and rhythm guitar.",192.7
309861.wav,"Gentle and dreamy love song with acoustic guitars, strings and male vocals.",133.1
376419.wav,"1980s instrumental love song with electric piano and country acoustic guitar, with no vocals but with Spanish guitar lead",234.7
344326.wav,A mellow and gentle song that could also be used as a lullaby.,147.3
1293996.wav,Upbeat acoustic guitar song with country style singing and vocals along with harmonica plus whistling at the end,162.4
727905.wav,"Its an ambient song, with electronic elements like a synth, delayed piano, sine wave oscillators, no vocal, can come under the background, mysterious vibe, relaxing as well",149.6
188296.wav,Upbeat rock guitar song with a punk feel about love,232.4
5343.wav,Ambient electronic piece of music with organic sounds perfect for a science fiction video game.,363.8
347858.wav,energetic ska track with driving guitars and drums and brass featuring raw and scratchy vocals,164.3
945199.wav,"Lively, upbeat pop song that gives you energy.",165.0
356441.wav,"not sure which genre to put this in, pop or rock maybe. It has male vocals, electronic synth drums and keys also a whistle. It is a slow tempo song and it sounds relaxing and chill",243.1
1306909.wav,"A chunky distortion guitar plays, with some sharp attacks and strange resonances, like the sounds from a pinball machine. The guitars drifts somewhat arhythmically.",31.2
1093794.wav,Pop love song that would accompany perfectly a morning run.,140.0
101464.wav,a guitar and voice ballad song. Percussive elements are added by the guitarist's fingerstyle.,206.8
439178.wav,"Guitar and drum backed rock song with a male singer, starting with drums only, slowly building up to all instruments + singer performing.",223.2
1009671.wav,"A rock song with a country vibe, it has male vocals, drums, and acoustic guitar. It is an upbeat song",160.1
145949.wav,An energetic song with a heavy riff and male vocal.,188.1
1156051.wav,"A folk song with a bitter-sweet acoustic guitar and a pleasant sounding male vocalist, that turns into a melancholic duet with a female voice.",199.3
1210700.wav,A rock track song a male voice and electric guitar and drums. Later with horns.,160.1
1254634.wav,This sentimental rock track features a clean electric guitar with heavy echoes and troubled male vocals.,196.7
172015.wav,Male hip-hop track with a tribal vibe featuring african percussion.,230.6
537118.wav,"The song does not have one specific genre as it jumps between rock, reggae and a bit of rap using instruments across various spectrum as well but mainly constituting of the guitar, drums and saxophone",282.4
1210725.wav,Positive instrumental pop song with a strong rhythm and brass section.,160.1
43984.wav,Acoustic guitar and a kind of storytelling male voice underpin this spirited folk song.,199.0
206596.wav,"A power-pop song with a lot of idiosyncracies like flutes, a kid's choir, and guitar solo played backwards.",151.0
1169728.wav,Classical music piano instrumental with a calming dreamy feel,284.1
1239507.wav,"Mysterious piece of jazz music for a typical film noir scene, played on piano, bass (and with a trumpet solo section).",295.2
1210714.wav,"A fun upbeat drums section playing with a keyboard and some electronic horn type noises, feels like the automatic song on a keyboard that you'd play in music lessons",147.9
976784.wav,upbeat electronic music with occasional melody woah which keeps looping over and over,140.5
780639.wav,"Cheesy pop song with a 80s vibe. A female voice with a guitar in the back and a soft drum beat, with a basic synth lead strongly reverbed.",234.7
986589.wav,A song with good balance between vocals and instruments.,223.3
357192.wav,"A folk Latin American song with a brass, accordion and percussions. The male voice is initially filtered with a radio effect but than moves to the typical feeling of chaotic danceable latin American hits.",197.9
1051198.wav,"A record noise opens up this song, followed quickly by a filtered female voice; piano chords finish the intro and the song opens up into a high-quality piano-pop melody that is evocative of the singer-songwriter type that is dabbling in soft-rock.",201.5
1063454.wav,A deeply soothing track featuring two string instruments makes one peaceful with theirselves and the world.,119.5
1051193.wav,Melodic and heartfelt piano ballad performed by a female voice accompanied by piano.,231.2
945194.wav,Electro dance song to play in the pub to cheer up the crowd.,180.0
88214.wav,"A neo-classical piece that's like ballroom dancing music, but with some interesting percussion added in. Theme and variation structure with varying instrumentation.",132.6
285485.wav,"A string ensemble starts of the track with legato melancholic playing. After two bars, a more instruments from the ensemble come in. Alti and violins seem to be playing melody while celli, alti and basses underpin the moving melody lines with harmonies and chords. The track feels ominous and melanchonic. Halfway through, alti switch to pizzicato, and then fade out to let the celli and basses come through with somber melodies, leaving the chords to the violins.",375.7
508495.wav,"Genre seems like a electric music and it reminds me of a club where people are dressed in 1980's fashion(neon, colorful outfit).",296.8
1331791.wav,Ambient song with duduk and oriental drums perfect for starting a trip to east.,293.9
48721.wav,This song is acoustic and soft. It can be used as background in some bar situations. During the whole song a guitar is present.,171.0
285383.wav,"Classical music piece, from the romantic period. Quintet of strings with a simple and yet rich harmonic texture, the piece reminds of the romantic grandeur, the epic romances and intrigues at the palace.",659.4
1060600.wav,Melodic jazz piece starting off with a solo sax intro and continues with smooth electric guitar and synthesizer riffs.,185.6
976785.wav,"Techno-house track that lopes and has synthetic hi-hats, clicks, and synth pads; the beat drives, although the track is fairly repetitive, and it would be a good pairing for someone attending a dance party in Sweden.",159.7
1054342.wav,A ballad song with an acoustic guitar and a male voice singing french words.,244.0
1126719.wav,Alternative electronic song with experimental sounds and unsettling vibe,268.0
305159.wav,Fast tempo percussion with an energetic beat and a vocal melody,100.9
226.wav,A loud rock/metal song in French with guitars and drums,222.8
17170.wav,It has a ballet dance or circus music feel mostly played on the xylophone,65.4
700220.wav,Girl singing on top of a dramatic electronic tune with a violin and muted guitar.,267.8
111962.wav,"it has some very nice and warm fretless bass sound, continues with calm and soothing mood. the vocal and piano makes a great duet. with a medium-slow tempo, it's groovy and danceable. the open hi-hat adds an accent.",156.9
1294747.wav,"Upbeat groove punctuated by keys and horn stabs. Indie-like vocals adorn a driving beat make this good music for a Friday afternoon, in the car with the windows down.",157.4
1367174.wav,The song is an instrumental played on electronic midi and has a dark element to it caused by the low bass octave that is prominent throughout the song,215.4
1051195.wav,"Acoustic guitar that overtakes the female vocal line) starts the song, as a rimshot-heavy drum groove emerges; warbly vocals bring in the chorus, which is nostalgic and reminiscent.",233.5
1211608.wav,Slow tempo pop song using only piano and vocals with sad lyrics,240.1
1055022.wav,"This song that features a piano, cello and oboe starts calmly and then arrives to a crescendo to give a triumphant atmosphere.",87.1
43881.wav,"Driving rock song with an energetic chorus, featuring heavily distorted guitars and male vocals.",220.4
208937.wav,"Buddha-bar electro ethnic instrumental track, with a straightforward drum beat and a sustained pad in background. Sampled strings and woodwinds keep the melody going.",216.0
1163322.wav,"This is a calm swing music with drums, synth and trumpet responding to each other and makes you want to bounce.",201.1
236348.wav,"The song start with a dark guitar riff but quickly turns into French EDM mixed with downtempo, with a strong beat and vocal samples and pads morphing through the song.",266.1
1320571.wav,Cosy folky song featuring male vocals and acoustic guitars,239.6
244237.wav,A sad thoughtful song featuring acoustic guitar and a male vocalist.,424.0
15171.wav,A soothing track with a mellow synth sound enriched progressively by an upbeat drum machine and robot-like vocalizations.,319.7
145968.wav,"A soulless pop, ballad song in a raw production form with a catchy, yet overused, minor harmonic sequence. The keyboard is too repetitive and loud and almost shades the whole composition. It would be a good song to be used in an ending credits or a driving scene from a movie.",197.6
1176716.wav,"Instrumental lounge song, with an 80s sounding vibe, a strong digital synth pad in the back, a prominent bass line and the overall feeling of a hotel waiting room.",289.5
1336413.wav,Sexy dance music with a bit of irregular meter. Occasional female voice on top.,227.8
1210719.wav,Positive and light instrumental pop song with hand clapping.,182.1
145366.wav,"Intellectual rock song in French with a whispered, half-spoken male voice that sounds like it's coming through a radio.",219.5
1004034.wav,Electronic music that has a constant melody throughout with accompanying instruments used to supplement the melody which can be heard in possibly a casual setting,202.5
938065.wav,Classic video instruction background song with major chord and ukelele.,309.4
1296198.wav,Inspirational track that builds as more instruments are added to the song.,247.7
6725.wav,An romantic song with only piano and vocals that is contemplative yet relaxing,231.5
43983.wav,An acoustic song where a singer tells a story over a guitar playing arpeggios. It could be played to people gathered around a fireplace,230.2
1218780.wav,This son is pumping with heavy percussion layers and an energetic female vocal.,222.2
1157360.wav,Pop music remix. suitable for Clubbing. Male voice.,199.3
242349.wav,"Melancholic slow-tempo ballad with male vocals, acoustic guitar and strings.",226.3
1179160.wav,Evokes an uncomfortable feeling is a mixture of rock and trance,205.9
103892.wav,bluesy guitar with a slow repetitive rythm in a smoky room in latin america,156.7
1116406.wav,slow and arpeggiated solo piano with a boatload of reverb,90.0
352685.wav,A peaceful piano piece for relaxing by the fireplace.,65.5
1169713.wav,"Genre seems to be classical music and I feel calm and reminded me of place called ""Nevermore Academy"" from Netflix show Wednesday",238.3
